Артикул,Наименование,Производитель,Свободно,В резерве,Ожидается,Тип
,ST0100EBNR002000,G 1 - 11 CLASS B ISO 228 NOT GO TRG,BAKER GAUGES INDIA PVT. LTD.,1,0,0,Калибр
,ST0116EBNR002000,G 1.1/4 - 11 CLASS B ISO 228 NOT GO TRG,BAKER GAUGES INDIA PVT. LTD.,1,0,0,Калибр
,ST0132EBNR002000,G 1.1/2 - 11 CLASS B ISO 228 NOT GO TRG,BAKER GAUGES INDIA PVT. LTD.,1,0,0,Калибр
,SZ0240E1GL002100,Tr. 24 x 5 - 7e L.H. GO TRG,BAKER GAUGES INDIA PVT. LTD.,1,0,0,Калибр
,A000401002ASAA0,Комплект метчиков M 4x0,7 SET - A100 HSSE,Vergnano,0,2,0,Метчик
,1121546R3,Пластина SNMG190616-MR PHG125 ,Palbit,7,3,0,Корпус резца со сменными пластинами
,DRK_00013754,Пластина SNMG190616-RGQC1225,Derek,2,5,0,Пластина
,DRK_00015925,Пластина SNMG190616-MGQC1125,Derek,2,5,0,Хвостовик инструмента
,DRK_00012062,Пластина SNMG190616-MGQC1135,Derek,2,5,0,Пластина
,6712912,Заготовка канавочной пластины PSGB25 UX30,Tungaloy,0,5,0,Пластина
,748SF-E05-A45°-L30-HTC,Пластина 748SF-E05-A45°-L30-HTC,Applitec,0,10,0,Пластина
,RS009.0150/AL41F,Пластина RS009.0150/AL41F,DUEMMEL,0,1,0,Вставка
,099 11771,Датчик BIS C-122-05/L BIS015W,Товары,0,1,0,Прочий измерительный инструмент
,2SS073D0800,Сверло спиральное 2SS073D0800,ARCONIT,0,2,0,Сверло спиральное
,00034977,Пластина канавочная ACD 302-CH-K AP301U,ACHTECK,0,197,0,Пластина канавочная
,00034975,Пластина канавочная ACD 403-CH AP301U,ACHTECK,20,0,0,Пластина канавочная
,80008112,Пластина канавочная ACD 403-CH-K AP301U,ACHTECK,7,0,0,Пластина канавочная
,TDXU4E-0.4FH9080,Пластина канавочная TDXU 4E-0.4 FH9080,unknown,6,0,0,Пластина канавочная
,IDSL1600P25-QA,Головка сверлильная IDSL1600P25-QA,ASKUP,0,20,0,Сверлильная головка
,057-00002,Державка канавочная GVER20-26,VARGUS,0,1,0,Корпус резца со сменными пластинами
,6111700,Пластина фрезерная NFB 160-SM         TT5515,TaeguTec,0,20,0,Пластина для фрез
,DRK_00008372,Пластина канавочная ZTHD 0504-MG DP5125,Derek,0,30,0,Пластина канавочная
,DRK_00001068,Удлинитель DCK4-4-45,Derek,0,1,0,Хвостовик инструмента
,M.02.02.01.53,Державка резьбовая TIR A20P 16 (AKKO),AKKO,2,0,0,Корпус резца со сменными пластинами
,261-1.0-AP202,Пластина 261-1.0-AP202,Applitec,0,10,0,Пластина
,00034976,Пластина канавочная ACD 202-CH-K AP301U,ACHTECK,0,200,0,Пластина канавочная
,TDC2FH9080,Пластина канавочная TDC 2 FH9080,unknown,0,6,0,Пластина канавочная
,CN13-D120B040-DC1F901,Корпус фрезы CN13-D120B040-DC1F901,ASKUP,0,1,0,Корпус фрезы со сменными пластинами
,CNCQ130731NF EP5220,Пластина 1 CNCQ130731NF EP5220,ASKUP,0,30,0,Пластина для фрез
,CNCQ130731NFL EP5220,Пластина 2 CNCQ130731NFL EP5220,ASKUP,0,30,0,Пластина для фрез
,CNCQ130708NFL EP5220,Пластина 3 CNCQ130708NFL EP5220,ASKUP,0,30,0,Пластина для фрез
,DRK_00012239,Пластина сверлильная WCMX050308-PHDP5215,Derek,0,7,0,Пластина
,DRK_00016011,Пластина SCMT09T308-HMQC3115,Derek,0,8,0,Пластина
,6811536,Пластина XCET310404ER AH330,Tungaloy,0,10,5,Пластина для фрез
,DRK_00013001,Пластина CCGX09T302-ALNA10,Derek,0,10,0,Пластина
,5615402,Пластина фрезерная APKT 120416R-EM  TT9080,TaeguTec,0,10,0,Пластина для фрез
